Algorithm,Mean Final Regret,Std Final Regret,Count,Mean Normalized Accuracy,Std Norm Accuracy,Mean Normalized Energy,std_energy_per_token_norm,mean_latency_norm,std_latency_norm,Mean Reward,Std Reward,Mean Final Reward,Std Final Reward
accuracy,851.202673929849,0.0,5,0.6850036129066008,0.0,0.5373095930916143,0.0,0.6258397028689867,0.0,0.5738470099074934,0.0,1434.6175247687333,0.0
epsilon_greedy,457.6557437592701,15.162048748304832,5,0.6248321214249588,0.041602552208504166,0.16230055747350908,0.052825202993463265,0.19861610155281528,0.06320690575372154,0.7312657819757249,0.006064819499321907,1828.164454939312,15.162048748304807
largest,1070.86836431182,0.0,5,0.38419378669728327,0.0,0.4122323191878735,0.0,0.4059649715387025,0.0,0.4859807337547048,0.0,1214.9518343867621,0.0
linear_epsilon_greedy,421.00267125464524,24.260169419107797,5,0.6122263203236954,0.019747109064371673,0.1203722983685458,0.00941002157084801,0.1508887115424468,0.005971493909030494,0.7459270109775747,0.009704067767643132,1864.817527443937,24.260169419107815
linucb,417.330122454532,16.533956560134047,5,0.6244920237928688,0.012885921448785134,0.1296999627976286,0.0039282446739735315,0.15764191506426167,0.007709199144115617,0.74739603049762,0.006613582624053606,1868.4900762440502,16.53395656013407
random,607.3367820741358,8.348463198708593,5,0.5111623899864096,0.004737327206036343,0.16837565668685245,0.0031141234069009434,0.20468136505934215,0.0022688925707115013,0.6713933666497786,0.0033393852794834492,1678.4834166244466,8.348463198708558
smallest,692.5151253202789,0.0,5,0.3224971670309777,0.0,0.04785310832833502,0.0,0.08831793858344318,0.0,0.6373220293513213,0.0,1593.3050733783034,0.0
thompson_sampling,436.6766939083154,14.340437316288616,5,0.6058690406576359,0.017531987041494036,0.12655423682542244,0.013114051833903071,0.15451525342489245,0.0069770892701499655,0.7396574019161067,0.005736174926515473,1849.143504790267,14.340437316288666
