Lambda,Algorithm,Count,Mean Normalized Accuracy,Std Norm Accuracy,Mean Normalized Energy,Std Norm Energy,mean_latency_norm,std_latency_norm,Mean Reward,Std Reward,Mean Total Energy (Wh),Std Total Energy (Wh)
0.0,accuracy,5,0.6850036129066008,0.0,0.5373095930916143,0.0,0.6258397028689867,0.0,0.6850036129066008,0.0,731.4273224816835,0.0
0.0,epsilon_greedy,5,0.6758799368732591,0.003179600046202446,0.3983498783253607,0.16675419138209108,0.46845299669186424,0.18968242638283098,0.6758799368732591,0.003179600046202446,570.1803359836074,182.11029487805197
0.0,largest,5,0.38419378669728327,0.0,0.4122323191878735,0.0,0.4059649715387025,0.0,0.38419378669728327,0.0,440.4658335067344,0.0
0.0,linear_epsilon_greedy,5,0.667199778471231,0.011600709563414304,0.2653293895616383,0.05852541042634961,0.3054241526212055,0.07112409151885438,0.667199778471231,0.011600709563414304,278.4504454549411,24.964343154114754
0.0,linucb,5,0.6599465466093568,0.017264202758015313,0.2023095492919354,0.02634753556050908,0.23190618325863582,0.02891847642102962,0.6599465466093568,0.017264202758015313,243.69730772063377,44.70984769991498
0.0,random,5,0.5104020805845767,0.008157592456212864,0.16647144075761933,0.000879479774401426,0.20421007338469885,0.002054722810959873,0.5104020805845767,0.008157592456212864,235.24024200567277,4.7816258771757365
0.0,smallest,5,0.3224971670309777,0.0,0.04785310832833502,0.0,0.08831793858344318,0.0,0.3224971670309777,0.0,52.463203797571865,0.0
0.0,thompson_sampling,5,0.6563477634815114,0.015934221152615873,0.2684476218993404,0.04963043465117558,0.30823927945870966,0.04506036700934932,0.6563477634815114,0.015934221152615873,343.8279055417736,97.63249315917712
0.1,accuracy,5,0.6850036129066008,0.0,0.5373095930916143,0.0,0.6258397028689867,0.0,0.6627722923067794,0.0,731.4273224816835,0.0
0.1,epsilon_greedy,5,0.6356884604076625,0.03452977729868911,0.26682090953509907,0.14001215815349405,0.28803645829976726,0.1743157621455421,0.6454375234133863,0.022286509871074427,381.02939647127477,175.20433032640076
0.1,largest,5,0.38419378669728327,0.0,0.4122323191878735,0.0,0.4059649715387025,0.0,0.40455117610876756,0.0,440.4658335067344,0.0
0.1,linear_epsilon_greedy,5,0.6541441452521999,0.021063485146949282,0.23065394160213729,0.05961036780111647,0.25674794685150704,0.06682147279669663,0.6656643365667663,0.017415863660563833,315.32555974363396,95.32164158452785
0.1,linucb,5,0.6548482160766758,0.010378527412394823,0.21397437647285278,0.03795788873895879,0.24592960376474687,0.04845289520182947,0.6679659568217229,0.007821775694815819,241.57671412524837,51.67226258877657
0.1,random,5,0.5112208469006916,0.007425946943736259,0.1657652854576037,0.0044735081655962105,0.20308233554275273,0.005703562667259505,0.5435222336648621,0.006512228376494542,233.86632829883675,8.31334750930412
0.1,smallest,5,0.3224971670309777,0.0,0.04785310832833502,0.0,0.08831793858344318,0.0,0.38546213949504643,0.0,52.463203797571865,0.0
0.1,thompson_sampling,5,0.6535353123982055,0.007295190254126289,0.21070762609936144,0.0243729846342088,0.23688515048129047,0.02579128942894675,0.6671110185484489,0.005597432318015937,275.41861864212933,61.82425010038864
0.2,accuracy,5,0.6850036129066008,0.0,0.5373095930916143,0.0,0.6258397028689867,0.0,0.6405409717069579,0.0,731.4273224816835,0.0
0.2,epsilon_greedy,5,0.6397807502364886,0.040421384840713025,0.2514564417972003,0.14229105421432128,0.2769162734228333,0.16991864647473404,0.6615333118297508,0.021980221676939915,360.80094864761406,194.7424801468523
0.2,largest,5,0.38419378669728327,0.0,0.4122323191878735,0.0,0.4059649715387025,0.0,0.4249085655202519,0.0,440.4658335067344,0.0
0.2,linear_epsilon_greedy,5,0.6577666069563446,0.018059757769976082,0.19485379918096005,0.02804997721681376,0.22516713390129536,0.03417071676222524,0.6872425257288837,0.015118145034565452,224.40482238233307,36.15145809203805
0.2,linucb,5,0.6445651004837287,0.01364769009335737,0.18709986210918195,0.02442905672074907,0.21324096127413017,0.031241240800580754,0.6782321079651468,0.011903494385976574,230.3243860953897,55.19725411932668
0.2,random,5,0.5007907748741338,0.007905602046040832,0.16803234965106534,0.0023896198015392954,0.20354900294561967,0.0028487927682215634,0.5670261499690941,0.005974137577072513,237.19735175676186,6.604478815382956
0.2,smallest,5,0.3224971670309777,0.0,0.04785310832833502,0.0,0.08831793858344318,0.0,0.44842711195911517,0.0,52.463203797571865,0.0
