lambda_weight,run_id,algorithm,accuracy_norm,energy_per_token_norm,latency_norm,reward,total_energy_wh
0.0,42,accuracy,0.6850036129066008,0.5373095930916143,0.6258397028689867,0.6850036129066008,731.4273224816835
0.0,42,epsilon_greedy,0.6787264563710702,0.5256721820669568,0.6137167447227885,0.6787264563710702,712.4601863165062
0.0,42,largest,0.38419378669728327,0.4122323191878735,0.4059649715387025,0.38419378669728327,440.4658335067343
0.0,42,linear_epsilon_greedy,0.686324508602152,0.35279068419828047,0.4086478444904009,0.686324508602152,280.72232564451986
0.0,42,linucb,0.6586946265062928,0.2231700533957277,0.24804865049150412,0.6586946265062928,300.7370017022692
0.0,42,random,0.49891343525086196,0.1652251384583441,0.20154188199518186,0.49891343525086196,243.1277221704169
0.0,42,smallest,0.3224971670309777,0.04785310832833502,0.08831793858344318,0.3224971670309777,52.46320379757186
0.0,42,thompson_sampling,0.6681619817044889,0.3103015691464438,0.34676176303076384,0.6681619817044889,462.1189444642473
0.0,43,accuracy,0.6850036129066008,0.5373095930916143,0.6258397028689867,0.6850036129066008,731.4273224816835
0.0,43,epsilon_greedy,0.6767056096724999,0.520565249487984,0.60710340408243,0.6767056096724999,702.0783278416271
0.0,43,largest,0.38419378669728327,0.4122323191878735,0.4059649715387025,0.38419378669728327,440.4658335067343
0.0,43,linear_epsilon_greedy,0.6593291481232368,0.18960143729017054,0.2088160964088626,0.6593291481232368,289.3382200750824
0.0,43,linucb,0.6762175440176698,0.229728756943574,0.26224496857989726,0.6762175440176698,276.205449660818
0.0,43,random,0.5169301483802228,0.166380785464792,0.20326412903823077,0.5169301483802228,230.25515957351013
0.0,43,smallest,0.3224971670309777,0.04785310832833502,0.08831793858344318,0.3224971670309777,52.46320379757186
0.0,43,thompson_sampling,0.6656266679837687,0.2924304190793479,0.33739627531785743,0.6656266679837687,377.29707248081104
0.0,44,accuracy,0.6850036129066008,0.5373095930916143,0.6258397028689867,0.6850036129066008,731.4273224816835
0.0,44,epsilon_greedy,0.6787620565319323,0.5140145162909857,0.5999511308380727,0.6787620565319323,694.6103328359349
0.0,44,largest,0.38419378669728327,0.4122323191878735,0.4059649715387025,0.38419378669728327,440.4658335067343
0.0,44,linear_epsilon_greedy,0.6576707532544142,0.24811381345155978,0.30186882903732587,0.6576707532544142,292.1631904638737
0.0,44,linucb,0.6587787058457117,0.20943834014488366,0.2447573071294939,0.6587787058457117,230.22649435255948
0.0,44,random,0.5195035210228304,0.16770687204773885,0.20650093433221828,0.5195035210228304,234.4760951633839
