feature_set,mean_final_regret,std_final_regret,min_final_regret,max_final_regret
None,457.6557437592701,15.162048748304832,432.83335890101586,469.67000279726085
Cluster,485.6316579175992,40.98520531814408,437.7049021753553,531.3585490777492
Complexity,488.89059740378696,22.11177239469833,463.95783632844524,517.1676228982052
Task,458.5824867409193,10.51720941067348,447.82104530917377,470.0130026698877
Cluster + Complexity,451.4534347965585,6.497830014311253,445.1675171095285,458.6914499818191
Task + Cluster,415.5408727225325,15.98140574458389,392.4984015735136,434.1875832133578
Task + Complexity,406.2844457737262,18.384017221807756,380.0184450039665,428.67130307736915
Full Features,432.209178211545,27.512367806592746,397.24690577236015,467.0117870352145
